ip_address,time_till_released
127.0.0.1,2024-06-28 18:13:11.907747127.0.0.1,2024-06-28 18:20:44.669572
127.0.0.1,2024-06-28 18:20:45.235566
127.0.0.1,2024-06-28 18:20:46.259563
127.0.0.1,2024-06-28 18:20:46.835563
127.0.0.1,2024-06-28 18:20:47.463390
127.0.0.1,2024-06-28 18:20:48.014464
127.0.0.1,2024-06-28 18:20:48.957465
127.0.0.1,2024-06-28 18:20:49.510467
127.0.0.1,2024-06-28 18:20:50.552467
127.0.0.1,2024-06-28 18:20:51.197464
127.0.0.1,2024-06-28 18:20:54.000465
127.0.0.1,2024-06-28 18:20:59.719644
127.0.0.1,2024-06-28 18:21:00.862640
127.0.0.1,2024-06-28 18:21:01.588640
127.0.0.1,2024-06-28 18:21:02.271643
127.0.0.1,2024-06-28 18:21:03.343639
127.0.0.1,2024-06-28 18:21:03.800641
127.0.0.1,2024-06-28 18:21:03.845656
127.0.0.1,2024-06-28 18:21:04.029640
127.0.0.1,2024-06-28 18:21:04.317660
127.0.0.1,2024-06-28 18:21:05.212647
127.0.0.1,2024-06-28 18:21:05.368640
127.0.0.1,2024-06-28 18:21:05.523641
127.0.0.1,2024-06-28 18:21:06.386641
127.0.0.1,2024-06-28 18:21:07.187234
127.0.0.1,2024-06-28 18:21:07.865235
127.0.0.1,2024-06-28 18:42:24.322119
127.0.0.1,2024-06-28 18:42:24.402105
127.0.0.1,2024-06-28 18:42:25.353101
127.0.0.1,2024-06-28 18:42:25.778102
127.0.0.1,2024-06-28 18:42:26.595110
127.0.0.1,2024-06-28 18:42:27.153103
127.0.0.1,2024-06-28 18:43:06.386611
