ip_address,request_time,request_method,response_status_code,user_agent_browser,user_agent_os,user_agent_device_brand,user_agent_device_model,content_type

127.0.0.1,2024-05-27 12:42:41.213571,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:43:56.828681,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:44:02.957079,POST,403,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:47:10.978599,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:47:15.391051,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:47:19.288660,POST,403,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:48:58.744573,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 12:49:01.982887,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:25.985049,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:29.839357,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:34.758854,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:39.693939,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:44.383057,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:47.271526,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:53.905451,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:56.424042,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:07:59.086328,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:01.429726,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:03.680625,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:06.087558,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:19.565477,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:19.851473,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:20.180477,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:20.238476,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:20.655476,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:20.983475,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:21.022474,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:21.017472,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:28.611208,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:08:43.318275,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:09:56.764916,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:09:59.308247,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:05.239808,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:09.185438,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:12.485709,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:15.778517,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:21.083577,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:24.399595,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:25.872440,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:28.870490,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:32.836327,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:38.068534,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:42.938186,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:47.827566,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:52.590068,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:10:57.223651,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:11:01.602682,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:11:22.571726,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:11:25.767809,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:11:31.077731,POST,401,Other,Other,,,application/json
127.0.0.1,2024-05-27 13:11:35.058349,POST,401,Other,Other,,,application/json
